时间点,开关,偏航角偏移量,俯仰角偏移量,信号特征,置信度
0,On,15.016373,53.505814,'Fussy',0.18151397
1,On,0.0,49.74936,'Fussy',0.18372142
2,On,0.0,44.493027,'Fussy',0.05688982
3,On,13.075338,50.70067,'Fussy',0.0049627065
4,On,11.666269,37.940155,'Fussy',0.15984099
5,On,4.7684174,57.825783,'Fussy',0.030246412
6,On,10.463127,51.78401,'Fussy',0.08408382
7,On,3.567377,52.55092,'Fussy',6.761313E-4
8,On,16.268019,44.25571,'Fussy',0.07209718
9,On,0.0,36.49342,'Fussy',0.16472982
10,On,0.0,43.338367,'Fussy',0.12891327
11,On,0.0,39.624905,'Fussy',0.15030968
12,On,0.0,49.012695,'Fussy',0.09022178
13,On,9.756546,54.3731,'Fussy',0.16152471
14,On,11.1306305,45.776108,'Fussy',0.083274834
15,On,0.0,47.70723,'Fussy',0.1786169
16,On,0.0,58.08641,'Fussy',0.15632397
17,On,0.0,46.786644,'Fussy',0.06936299
18,On,14.95896,38.01946,'Fussy',0.097668745
19,On,3.9276981,49.51145,'Fussy',0.1140934
20,On,4.951332,62.740036,'Fussy',0.16803907
21,On,4.0596085,39.619366,'Fussy',0.17952892
22,On,0.0,37.20766,'Fussy',0.17350845
23,On,3.029192,54.018715,'Fussy',0.029626286
24,On,15.981216,45.119232,'Fussy',0.090464555
25,On,4.7991047,42.778572,'Fussy',0.11235493
26,On,12.327225,51.197342,'Fussy',0.16581182
27,On,2.3923588,56.085297,'Fussy',0.0670771
28,On,6.454426,39.17316,'Fussy',0.08283379
29,On,13.229115,36.57121,'Fussy',0.14336115
30,On,1.5224037,56.764847,'Fussy',0.13336976
31,On,5.729904,53.985542,'Fussy',0.10660555
32,On,8.725655,65.22652,'Fussy',8.6101296E-4
33,On,0.0,50.844803,'Fussy',0.17297837
34,On,3.0680656,61.707603,'Fussy',0.06561885
35,On,0.0,61.181015,'Fussy',0.14602815
36,On,1.1960373,50.596176,'Fussy',0.1798417
37,On,0.0,56.348267,'Fussy',0.03269843
38,On,0.0,55.63813,'Fussy',0.08295242
39,On,0.0,61.93155,'Fussy',0.09098605
40,On,0.0,51.434227,'Fussy',0.19509427
41,On,0.0,50.61647,'Fussy',0.1674454
42,On,3.7343826,51.98204,'Fussy',0.018256688
43,On,8.79685,57.106483,'Fussy',0.060866248
44,On,9.871389,47.23937,'Fussy',0.158033
45,On,9.871389,47.23937,'Fussy',0.158033
46,On,9.871389,47.23937,'Fussy',0.158033
47,On,9.871389,47.23937,'Fussy',0.158033
48,On,9.871389,47.23937,'Fussy',0.158033
49,On,9.871389,47.23937,'Fussy',0.158033
50,On,9.871389,47.23937,'Fussy',0.158033
51,On,9.871389,47.23937,'Fussy',0.158033
52,On,9.871389,47.23937,'Fussy',0.158033
53,On,9.871389,47.23937,'Fussy',0.158033
54,On,9.871389,47.23937,'Fussy',0.158033
55,On,9.871389,47.23937,'Fussy',0.158033
56,On,0.0,48.04406,'Fussy',0.07508687
57,On,10.889828,50.816437,'Fussy',0.08209061
58,On,1.0394344,65.795975,'Fussy',0.13534892
59,On,0.0,52.698776,'Fussy',0.15779573
60,On,12.088997,42.664448,'Fussy',0.08981579
61,On,0.0,69.61617,'Fussy',0.054056406
62,On,0.0,47.134636,'Fussy',0.008586705
63,On,12.535448,51.068947,'Fussy',0.16651414
64,On,0.779686,72.61203,'Fussy',0.021513416
65,On,9.379261,45.753784,'Fussy',0.062321484
66,On,8.16057,66.74571,'Fussy',0.098180555
67,On,8.201191,71.96057,'Fussy',0.1544858
68,On,10.668392,72.406876,'Fussy',0.09740742
69,On,9.978268,51.9487,'Fussy',0.06761306
70,On,15.776352,61.01435,'Fussy',0.049494673
71,On,9.288368,69.12358,'Fussy',0.020037616
72,On,5.042206,48.314865,'Fussy',0.16900377
73,On,9.688734,69.89827,'Fussy',0.0848572
74,On,2.4769192,51.106995,'Fussy',0.06702234
75,On,15.856926,60.62593,'Fussy',0.034986343
76,On,6.5088406,68.52476,'Fussy',0.15439986
77,On,8.317936,59.802696,'Fussy',0.10438521
78,On,12.443687,56.19079,'Fussy',0.13741913
79,On,2.7166004,66.53931,'Fussy',0.19440463
80,On,1.3842907,56.387474,'Fussy',0.07606572
81,On,17.91301,73.49274,'Fussy',0.136572
82,On,15.753185,56.37876,'Fussy',0.13678117
83,On,5.8437595,56.968887,'Fussy',0.089867316
84,On,16.439598,66.303444,'Fussy',0.15376554
85,On,17.429016,60.555626,'Fussy',0.14206927
86,On,0.0,64.297134,'Fussy',0.15045804
87,On,18.485016,70.48851,'Fussy',0.096334755
88,On,0.0,66.356575,'Fussy',0.03261712
89,On,0.0,55.97454,'Fussy',0.039486803
90,On,6.6261787,71.476,'Fussy',0.19922489
91,On,13.910023,60.81987,'Fussy',0.06905272
92,On,0.0,69.383286,'Fussy',0.1128603
93,On,12.917656,53.039627,'Fussy',0.040375244
94,On,16.781563,52.090645,'Fussy',0.14243893
95,On,0.0,75.42509,'Fussy',0.029915452
96,On,0.0,74.83761,'Fussy',0.03060844
97,On,0.0,55.17092,'Fussy',0.1564598
98,On,20.164783,77.333115,'Fussy',0.1076945
99,On,17.604649,64.66243,'Fussy',0.12112445
100,Off,0.0,0.0,'',0.0
101,Off,0.0,0.0,'',0.0
102,Off,0.0,0.0,'',0.0
103,Off,0.0,0.0,'',0.0
104,Off,0.0,0.0,'',0.0
105,Off,0.0,0.0,'',0.0
106,Off,0.0,0.0,'',0.0
107,Off,0.0,0.0,'',0.0
108,Off,0.0,0.0,'',0.0
109,Off,0.0,0.0,'',0.0
110,Off,0.0,0.0,'',0.0
111,Off,0.0,0.0,'',0.0
112,Off,0.0,0.0,'',0.0
113,Off,0.0,0.0,'',0.0
114,Off,0.0,0.0,'',0.0
115,Off,0.0,0.0,'',0.0
116,Off,0.0,0.0,'',0.0
117,Off,0.0,0.0,'',0.0
118,Off,0.0,0.0,'',0.0
119,Off,0.0,0.0,'',0.0
120,Off,0.0,0.0,'',0.0
121,Off,0.0,0.0,'',0.0
122,Off,0.0,0.0,'',0.0
123,Off,0.0,0.0,'',0.0
124,Off,0.0,0.0,'',0.0
125,Off,0.0,0.0,'',0.0
126,Off,0.0,0.0,'',0.0
127,Off,0.0,0.0,'',0.0
128,Off,0.0,0.0,'',0.0
129,Off,0.0,0.0,'',0.0
130,Off,0.0,0.0,'',0.0
131,Off,0.0,0.0,'',0.0
132,Off,0.0,0.0,'',0.0
133,Off,0.0,0.0,'',0.0
134,Off,0.0,0.0,'',0.0
135,Off,0.0,0.0,'',0.0
136,Off,0.0,0.0,'',0.0
137,Off,0.0,0.0,'',0.0
138,Off,0.0,0.0,'',0.0
139,Off,0.0,0.0,'',0.0
140,Off,0.0,0.0,'',0.0
141,Off,0.0,0.0,'',0.0
142,Off,0.0,0.0,'',0.0
143,Off,0.0,0.0,'',0.0
144,Off,0.0,0.0,'',0.0
145,Off,0.0,0.0,'',0.0
146,Off,0.0,0.0,'',0.0
147,Off,0.0,0.0,'',0.0
148,Off,0.0,0.0,'',0.0
149,Off,0.0,0.0,'',0.0
150,Off,0.0,0.0,'',0.0
151,Off,0.0,0.0,'',0.0
152,Off,0.0,0.0,'',0.0
153,Off,0.0,0.0,'',0.0
154,Off,0.0,0.0,'',0.0
155,Off,0.0,0.0,'',0.0
156,Off,0.0,0.0,'',0.0
157,Off,0.0,0.0,'',0.0
158,Off,0.0,0.0,'',0.0
159,Off,0.0,0.0,'',0.0
160,Off,0.0,0.0,'',0.0
161,Off,0.0,0.0,'',0.0
162,Off,0.0,0.0,'',0.0
163,Off,0.0,0.0,'',0.0
164,Off,0.0,0.0,'',0.0
165,Off,0.0,0.0,'',0.0
166,Off,0.0,0.0,'',0.0
167,Off,0.0,0.0,'',0.0
168,Off,0.0,0.0,'',0.0
169,Off,0.0,0.0,'',0.0
170,Off,0.0,0.0,'',0.0
171,Off,0.0,0.0,'',0.0
172,Off,0.0,0.0,'',0.0
173,Off,0.0,0.0,'',0.0
174,Off,0.0,0.0,'',0.0
175,Off,0.0,0.0,'',0.0
176,Off,0.0,0.0,'',0.0
177,Off,0.0,0.0,'',0.0
178,Off,0.0,0.0,'',0.0
179,Off,0.0,0.0,'',0.0
180,Off,0.0,0.0,'',0.0
181,Off,0.0,0.0,'',0.0
182,Off,0.0,0.0,'',0.0
183,Off,0.0,0.0,'',0.0
184,Off,0.0,0.0,'',0.0
185,Off,0.0,0.0,'',0.0
186,Off,0.0,0.0,'',0.0
187,Off,0.0,0.0,'',0.0
188,Off,0.0,0.0,'',0.0
189,Off,0.0,0.0,'',0.0
190,Off,0.0,0.0,'',0.0
191,Off,0.0,0.0,'',0.0
192,Off,0.0,0.0,'',0.0
193,Off,0.0,0.0,'',0.0
194,Off,0.0,0.0,'',0.0
195,Off,0.0,0.0,'',0.0
196,Off,0.0,0.0,'',0.0
197,Off,0.0,0.0,'',0.0
198,Off,0.0,0.0,'',0.0
199,Off,0.0,0.0,'',0.0
