时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,Formation,4,7 10 
0,ESM,1,2 3 4 5 6 7 8 9 10 
0,Formation,1,2 5 8 
0,Formation,3,6 9 
1,Formation,4,7 10 
1,ESM,1,2 3 4 5 6 7 8 9 10 
1,Formation,1,2 5 8 
1,Formation,3,6 9 
2,Formation,4,7 10 
2,ESM,1,2 3 4 5 6 7 8 9 10 
2,Formation,1,2 5 8 
2,Formation,3,6 9 
3,Formation,4,7 10 
3,ESM,1,2 3 4 5 6 7 8 9 10 
3,Formation,1,2 5 8 
3,Formation,3,6 9 
4,Formation,4,7 10 
4,ESM,1,2 3 4 5 6 7 8 9 10 
4,Formation,1,2 5 8 
4,Formation,3,6 9 
5,Formation,4,7 10 
5,ESM,1,2 3 4 5 6 7 8 9 10 
5,Formation,1,2 5 8 
5,Formation,3,6 9 
6,Formation,4,7 10 
6,ESM,1,2 3 4 5 6 7 8 9 10 
6,Formation,1,2 5 8 
6,Formation,3,6 9 
7,Formation,4,7 10 
7,ESM,1,2 3 4 5 6 7 8 9 10 
7,Formation,1,2 5 8 
7,Formation,3,6 9 
8,Formation,4,7 10 
8,ESM,1,2 3 4 5 6 7 8 9 10 
8,Formation,1,2 5 8 
8,Formation,3,6 9 
9,Formation,4,7 10 
9,ESM,1,2 3 4 5 6 7 8 9 10 
9,Formation,1,2 5 8 
9,Formation,3,6 9 
10,Formation,4,7 10 
10,ESM,1,2 3 4 5 6 7 8 9 10 
10,Formation,1,2 5 8 
10,Formation,3,6 9 
11,Formation,4,7 10 
11,ESM,1,2 3 4 5 6 7 8 9 10 
11,Formation,1,2 5 8 
11,Formation,3,6 9 
12,Formation,4,7 10 
12,ESM,1,2 3 4 5 6 7 8 9 10 
12,Formation,1,2 5 8 
12,Formation,3,6 9 
13,Formation,4,7 10 
13,ESM,1,2 3 4 5 6 7 8 9 10 
13,Formation,1,2 5 8 
13,Formation,3,6 9 
14,Formation,4,7 10 
14,ESM,1,2 3 4 5 6 7 8 9 10 
14,Formation,1,2 5 8 
14,Formation,3,6 9 
15,Formation,4,7 10 
15,ESM,1,2 3 4 5 6 7 8 9 10 
15,Formation,1,2 5 8 
15,Formation,3,6 9 
16,Formation,4,7 10 
16,ESM,1,2 3 4 5 6 7 8 9 10 
16,Formation,1,2 5 8 
16,Formation,3,6 9 
17,Formation,4,7 10 
17,ESM,1,2 3 4 5 6 7 8 9 10 
17,Formation,1,2 5 8 
17,Formation,3,6 9 
18,Formation,4,7 10 
18,ESM,1,2 3 4 5 6 7 8 9 10 
18,Formation,1,2 5 8 
18,Formation,3,6 9 
19,Formation,4,7 10 
19,ESM,1,2 3 4 5 6 7 8 9 10 
19,Formation,1,2 5 8 
19,Formation,3,6 9 
20,Formation,4,7 10 
20,ESM,1,2 3 4 5 6 7 8 9 10 
20,Formation,1,2 5 8 
20,Formation,3,6 9 
21,Formation,4,7 10 
21,ESM,1,2 3 4 5 6 7 8 9 10 
