时间点,队形控制节点3预置弹道经度,队形控制节点3预置弹道纬度,队形控制节点3预置弹道高度,队形控制节点3经度偏移,队形控制节点3纬度偏移,队形控制节点3高度偏移,跟随节点6预置相对距离,跟随节点6实际相对距离,跟随节点6相对距离偏移,跟随节点9预置相对距离,跟随节点9实际相对距离,跟随节点9相对距离偏移
0,67.07,370429.50,399038.34,-0.00,0.00,0.00,9.70,9.71,0.01,4.61,4.61,0.01
1,1871.60,368625.00,399038.34,0.00,0.00,0.00,9.70,9.71,0.01,4.61,4.61,0.01
2,3676.14,366820.50,399038.34,-0.02,0.00,0.00,9.70,9.71,0.02,4.61,4.62,0.01
3,5480.68,365016.00,399038.34,0.00,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.01
4,7285.21,363211.50,399038.34,-0.00,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.00
5,9089.75,361406.97,399038.34,-0.00,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.00
6,10894.29,359602.47,399038.34,-0.00,0.00,0.00,9.70,9.71,0.01,4.61,4.61,0.01
7,12698.82,357797.97,399038.34,-0.00,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.01
8,14503.36,355993.47,399038.34,-0.00,0.00,0.00,9.70,9.72,0.02,4.61,4.61,0.01
9,16307.90,354188.97,399038.34,0.02,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.01
10,18112.43,352384.47,399038.34,-0.00,0.00,0.00,9.70,9.72,0.03,4.61,4.61,0.01
11,19916.97,350579.97,399038.34,-0.00,0.00,0.00,9.70,9.71,0.01,4.61,4.61,0.01
12,21721.51,348775.44,399038.34,-0.00,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.01
13,23526.04,346970.94,399038.34,0.00,0.00,0.00,9.70,9.71,0.01,4.61,4.61,0.00
14,25330.58,345166.44,399038.34,0.02,0.00,0.00,9.70,9.71,0.01,4.61,4.61,0.00
15,27135.12,343361.94,399038.34,0.02,0.00,0.00,9.70,9.71,0.01,4.61,4.61,0.00
16,28939.65,341557.44,399038.34,-0.00,0.00,0.00,9.70,9.72,0.02,4.61,4.61,0.01
17,30744.19,339752.94,399038.34,0.00,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.01
18,32548.72,337948.44,399038.34,-0.01,0.00,0.00,9.70,9.72,0.02,4.61,4.61,0.01
19,34353.26,336143.91,399038.34,-0.00,0.00,0.00,9.70,9.73,0.03,4.61,4.62,0.01
20,36157.80,334339.41,399038.34,0.01,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.00
21,37962.33,332534.91,399038.34,-0.01,0.00,0.00,9.70,9.71,0.02,4.61,4.62,0.01
22,39766.86,330730.41,399038.34,0.01,0.00,0.00,9.70,9.71,0.01,4.61,4.62,0.01
23,41571.40,328925.91,399038.34,0.01,0.00,0.00,9.70,9.72,0.02,4.61,4.61,0.01
24,43375.93,327121.41,399038.34,-0.00,0.00,0.00,9.70,9.72,0.02,4.61,4.62,0.01
25,45180.47,325316.91,399038.34,0.01,0.00,0.00,9.70,9.72,0.03,4.61,4.61,0.01
26,46985.00,323512.38,399038.34,-0.01,0.00,0.00,9.70,9.72,0.03,4.61,4.61,0.01
27,48789.54,321707.88,399038.34,0.01,0.00,0.00,9.70,9.70,0.01,4.61,4.61,0.01
28,50594.07,319903.38,399038.34,0.01,0.00,0.00,9.70,9.71,0.01,4.61,4.62,0.01
29,52398.61,318098.88,399038.34,-0.00,0.00,0.00,9.70,9.72,0.03,4.61,4.62,0.01
30,54203.14,316294.38,399038.34,0.01,0.00,0.00,9.70,9.71,0.01,4.61,4.62,0.01
31,56007.68,314489.88,399038.34,-0.01,0.00,0.00,9.70,9.73,0.04,4.61,4.62,0.01
32,57812.21,312685.38,399038.34,0.01,0.00,0.00,9.70,9.71,0.02,4.61,4.61,0.00
33,59616.75,310880.88,399038.34,0.01,0.00,0.00,9.70,9.70,0.01,4.61,4.61,0.01
34,61421.29,309076.34,399038.34,-0.00,0.00,0.00,9.70,9.71,0.02,4.61,4.62,0.01
35,63225.82,307271.84,399038.34,0.01,0.00,0.00,9.70,9.72,0.02,4.61,4.61,0.01
36,65030.36,305467.34,399038.34,0.04,0.00,0.00,9.70,9.69,-0.01,4.61,4.61,0.00
37,66834.89,303662.84,399038.34,0.01,0.00,0.00,9.70,9.70,0.01,4.61,4.62,0.01
38,68639.43,301858.34,399038.34,0.04,0.00,0.00,9.70,9.69,-0.01,4.61,4.61,0.00
39,70443.96,300053.84,399038.34,0.01,0.00,0.00,9.70,9.70,0.01,4.61,4.62,0.01
40,72248.50,298249.34,399038.34,0.04,0.00,0.00,9.70,9.69,-0.01,4.61,4.61,0.00
