时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,82.63,370368.53,398972.69,135.0,45.0,2552.00,0,0
1,1358.66,369092.47,397167.88,134.75717,45.001324,2552.00,3,0
2,2634.64,367816.50,395363.06,135.24292,45.001205,2552.00,2,0
3,3910.97,366540.22,393558.72,134.75667,45.00148,2552.00,5,2
4,5187.00,365264.19,391753.91,134.75719,45.001297,2552.00,2,0
5,6463.01,363988.16,389949.09,134.74783,45.00171,2552.00,6,0
6,7739.41,362712.00,388144.75,135.25545,45.001667,2552.00,7,2
7,9015.18,361435.84,386339.94,134.75621,45.00086,2552.00,6,0
8,10291.52,360159.66,384535.59,134.76088,45.001343,2552.00,7,2
9,11567.41,358883.63,382730.78,135.24498,45.00121,2552.00,6,0
10,12843.43,357607.66,380925.97,134.75362,45.000977,2552.00,6,0
11,14119.75,356331.47,379121.63,134.76064,45.001114,2552.00,4,2
12,15395.70,355055.41,377316.81,134.75615,45.00094,2552.00,5,0
13,16671.72,353779.59,375512.00,135.24675,45.000973,2552.00,4,0
14,17947.87,352503.13,373707.66,134.7538,45.001427,2552.00,4,2
15,19223.90,351227.13,371902.84,135.2386,45.001244,2552.00,2,0
16,20499.92,349951.03,370098.03,134.74432,45.00092,2552.00,4,0
17,21776.38,348674.81,368293.66,135.24036,45.001472,2552.00,5,2
18,23052.35,347398.88,366488.88,135.2405,45.00086,2552.00,4,0
19,24328.63,346122.66,364684.50,135.24022,45.001644,2552.00,2,2
20,25604.61,344846.66,362879.69,134.75723,45.001247,2552.00,4,0
21,26880.57,343570.75,361074.88,135.24983,45.00075,2552.00,4,0
22,28156.75,342294.22,359270.53,134.7592,45.00148,2552.00,4,2
23,29432.82,341018.41,357465.72,135.2406,45.001083,2552.00,3,0
24,30708.77,339742.47,355660.91,135.24464,45.00146,2552.00,3,0
25,31984.98,338466.00,353856.56,134.75415,45.00121,2552.00,4,2
26,33261.05,337190.25,352051.75,135.2422,45.001354,2552.00,5,0
27,34536.95,335914.06,350246.94,134.75883,45.001682,2552.00,2,0
28,35813.34,334637.97,348442.59,134.75703,45.001347,2552.00,2,2
29,37089.32,333362.00,346637.78,135.24962,45.00092,2552.00,4,0
30,38365.52,332085.53,344833.44,134.7528,45.001484,2552.00,5,2
31,39641.84,330809.91,343028.63,134.74843,45.001484,2552.00,1,0
32,40918.16,329534.28,341223.81,134.74843,45.001484,2552.00,0,0
33,42194.48,328258.63,339419.00,134.74843,45.001484,2552.00,0,0
34,43470.80,326983.00,337614.19,134.74843,45.001484,2552.00,0,0
35,44747.13,325707.38,335809.38,134.74843,45.001484,2552.00,0,0
36,46023.45,324431.72,334004.56,134.74843,45.001484,2552.00,0,0
37,47299.77,323156.09,332199.78,134.74843,45.001484,2552.00,0,0
38,48576.09,321880.47,330394.97,134.74843,45.001484,2552.00,0,0
39,49852.41,320604.81,328590.16,134.74843,45.001484,2552.00,0,0
40,51128.73,319329.19,326785.34,134.74843,45.001484,2552.00,0,0
41,52405.19,318051.19,324982.38,135.30618,45.001286,2552.00,19,8
42,53678.67,316772.75,323177.56,135.35365,45.000996,2552.00,13,0
43,54953.18,315494.69,321373.19,135.26695,45.001595,2552.00,20,2
44,56229.56,314219.16,319568.38,134.70932,45.000927,2552.00,19,0
45,57506.75,312944.28,317763.59,134.70488,45.00094,2552.00,7,0
46,58783.35,311668.28,315959.22,135.26254,45.001602,2552.00,19,2
47,60058.98,310392.00,314154.41,134.75906,45.000916,2552.00,7,0
48,61334.99,309116.09,312349.63,135.24281,45.001354,2552.00,4,0
49,62611.31,307839.84,310545.25,134.76137,45.0017,2552.00,3,2
50,63887.29,306563.81,308740.44,135.24094,45.000916,2552.00,5,0
51,65163.23,305287.69,306935.63,134.75662,45.00103,2552.00,4,0
52,66439.59,304011.59,305131.28,135.24336,45.001026,2552.00,3,2
53,67715.48,302735.44,303326.47,134.75914,45.001247,2552.00,4,0
54,68991.83,301459.16,301522.13,134.75471,45.001045,2552.00,5,2
55,70267.88,300183.44,299717.31,135.24283,45.001244,2552.00,3,0
